Indice;Fecha;Open;Close;Variacion diaria;Descripcion
205;2021-07-25;34290.292969;35350.1875;1059.894530999998;Sube
206;2021-07-26;35384.03125;37337.535156;1953.503905999998;Sube
207;2021-07-27;37276.035156;39406.941406;2130.90625;Sube
208;2021-07-28;39503.1875;39995.90625;492.71875;Sube
209;2021-07-29;39995.453125;40008.421875;12.96875;Sube
210;2021-07-30;40027.484375;42235.546875;2208.0625;Sube
211;2021-07-31;42196.304688;41626.195313;-570.109375;Baja
212;2021-08-01;41460.84375;39974.894531;-1485.949219000002;Baja
213;2021-08-02;39907.261719;39201.945313;-705.3164060000054;Baja
214;2021-08-03;39178.402344;38152.980469;-1025.421875;Baja
215;2021-08-04;38213.332031;39747.503906;1534.171875;Sube
216;2021-08-05;39744.515625;40869.554688;1125.0390629999965;Sube
217;2021-08-06;40865.867188;42816.5;1950.6328120000035;Sube
218;2021-08-07;42832.796875;44555.800781;1723.003905999998;Sube
219;2021-08-08;44574.4375;43798.117188;-776.3203120000035;Baja
220;2021-08-09;43791.925781;46365.402344;2573.476563000004;Sube
221;2021-08-10;46280.847656;45585.03125;-695.8164059999981;Baja
222;2021-08-11;45599.703125;45593.636719;-6.066405999998096;Baja
223;2021-08-12;45576.878906;44428.289063;-1148.5898430000016;Baja
224;2021-08-13;44439.691406;47793.320313;3353.6289069999984;Sube
225;2021-08-14;47810.6875;47096.945313;-713.7421870000035;Baja
226;2021-08-15;47096.667969;47047.003906;-49.66406300000381;Baja
227;2021-08-16;47019.960938;46004.484375;-1015.4765629999965;Baja
228;2021-08-17;45936.457031;44695.359375;-1241.097655999998;Baja
229;2021-08-18;44686.75;44801.1875;114.4375;Sube
230;2021-08-19;44741.882813;46717.578125;1975.6953120000035;Sube
231;2021-08-20;46723.121094;49339.175781;2616.054686999996;Sube
232;2021-08-21;49327.074219;48905.492188;-421.5820310000054;Baja
233;2021-08-22;48869.105469;49321.652344;452.546875;Sube
234;2021-08-23;49291.675781;49546.148438;254.47265699999843;Sube
235;2021-08-24;49562.347656;47706.117188;-1856.2304680000016;Baja
236;2021-08-25;47727.257813;48960.789063;1233.53125;Sube
237;2021-08-26;49002.640625;46942.21875;-2060.421875;Baja
238;2021-08-27;46894.554688;49058.667969;2164.1132810000054;Sube
239;2021-08-28;49072.585938;48902.402344;-170.18359399999463;Baja
240;2021-08-29;48911.25;48829.832031;-81.4179690000019;Baja
241;2021-08-30;48834.851563;47054.984375;-1779.8671879999965;Baja
242;2021-08-31;47024.339844;47166.6875;142.3476559999981;Sube
243;2021-09-01;47099.773438;48847.027344;1747.2539060000054;Sube
244;2021-09-02;48807.847656;49327.722656;519.875;Sube
245;2021-09-03;49288.25;50025.375;737.125;Sube
246;2021-09-04;50009.324219;49944.625;-64.6992190000019;Baja
247;2021-09-05;49937.859375;51753.410156;1815.550780999998;Sube
248;2021-09-06;51769.003906;52633.535156;864.53125;Sube
249;2021-09-07;52660.480469;46811.128906;-5849.351563000004;Baja
250;2021-09-08;46827.761719;46091.390625;-736.3710940000019;Baja
251;2021-09-09;45774.742188;46391.421875;616.6796870000035;Sube
252;2021-09-10;46396.664063;44883.910156;-1512.7539069999984;Baja
253;2021-09-11;44869.839844;45201.457031;331.6171869999962;Sube
254;2021-09-12;45206.628906;46063.269531;856.640625;Sube
255;2021-09-13;46057.214844;44963.074219;-1094.140625;Baja
256;2021-09-14;44960.050781;47092.492188;2132.4414069999984;Sube
257;2021-09-15;47098.0;48176.347656;1078.347655999998;Sube
258;2021-09-16;48158.90625;47783.359375;-375.546875;Baja
259;2021-09-17;47771.003906;47267.519531;-503.484375;Baja
260;2021-09-18;47273.527344;48278.363281;1004.8359369999962;Sube
261;2021-09-19;48268.855469;47260.21875;-1008.6367190000019;Baja
262;2021-09-20;47261.40625;42843.800781;-4417.605469000002;Baja
263;2021-09-21;43012.234375;40693.675781;-2318.558594000002;Baja
264;2021-09-22;40677.953125;43574.507813;2896.5546879999965;Sube
265;2021-09-23;43560.296875;44895.097656;1334.800780999998;Sube
266;2021-09-24;44894.300781;42839.75;-2054.550780999998;Baja
267;2021-09-25;42840.890625;42716.59375;-124.296875;Baja
268;2021-09-26;42721.628906;43208.539063;486.91015699999843;Sube
269;2021-09-27;43234.183594;42235.730469;-998.453125;Baja
270;2021-09-28;42200.898438;41034.542969;-1166.3554689999946;Baja
271;2021-09-29;41064.984375;41564.363281;499.3789059999981;Sube
272;2021-09-30;41551.269531;43790.894531;2239.625;Sube
273;2021-10-01;43816.742188;48116.941406;4300.199218000002;Sube
274;2021-10-02;48137.46875;47711.488281;-425.9804690000019;Baja
275;2021-10-03;47680.027344;48199.953125;519.9257809999981;Sube
276;2021-10-04;48208.90625;49112.902344;903.9960940000019;Sube
277;2021-10-05;49174.960938;51514.8125;2339.8515620000035;Sube
278;2021-10-06;51486.664063;55361.44921900001;3874.7851560000126;Sube
279;2021-10-07;55338.625;53805.984375;-1532.640625;Baja
280;2021-10-08;53802.14453099999;53967.84765599999;165.703125;Sube
281;2021-10-09;53929.78125;54968.22265599999;1038.4414059999908;Sube
282;2021-10-10;54952.820313;54771.578125;-181.24218799999653;Baja
283;2021-10-11;54734.125;57484.789063;2750.6640629999965;Sube
284;2021-10-12;57526.83203099999;56041.05859400001;-1485.7734369999816;Baja
285;2021-10-13;56038.257813;57401.09765599999;1362.8398429999943;Sube
286;2021-10-14;57372.83203099999;57321.523438;-51.30859299999429;Baja
287;2021-10-15;57345.90234400001;61593.94921900001;4248.046875;Sube
288;2021-10-16;61609.52734400001;60892.179688;-717.3476560000126;Baja
289;2021-10-17;60887.65234400001;61553.617188;665.9648439999874;Sube
290;2021-10-18;61548.804688;62026.078125;477.27343700000347;Sube
291;2021-10-19;62043.164063;64261.992188;2218.828125;Sube
292;2021-10-20;64284.585938;65992.835938;1708.2500000000073;Sube
293;2021-10-21;66002.234375;62210.171875;-3792.0625;Baja
294;2021-10-22;62237.890625;60692.265625;-1545.625;Baja
295;2021-10-23;60694.62890599999;61393.617188;698.9882820000057;Sube
296;2021-10-24;61368.34375;60930.835938;-437.50781200000347;Baja
297;2021-10-25;60893.92578099999;63039.82421900001;2145.8984380000184;Sube
298;2021-10-26;63032.76171900001;60363.79296900001;-2668.96875;Baja
299;2021-10-27;60352.0;58482.38671900001;-1869.6132809999908;Baja
300;2021-10-28;58470.73046900001;60622.13671900001;2151.40625;Sube
301;2021-10-29;60624.87109400001;62227.96484400001;1603.09375;Sube
302;2021-10-30;62239.36328099999;61888.83203099999;-350.53125;Baja
303;2021-10-31;61850.48828099999;61318.95703099999;-531.53125;Baja
304;2021-11-01;61320.44921900001;61004.40625;-316.0429690000092;Baja
305;2021-11-02;60963.25390599999;63226.40234400001;2263.1484380000184;Sube
